Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
BRISK,SIFT,,12.3404,,,,,,,,,,,
BRISK,SIFT,,24.475,,,,,,,,,,,
BRISK,SIFT,,15.7841,,,,,,,,,,,
BRISK,SIFT,,13.9862,,,,,,,,,,,
BRISK,SIFT,,16.0418,,,,,,,,,,,
BRISK,SIFT,,15.191,,,,,,,,,,,
BRISK,SIFT,,13.9297,,,,,,,,,,,
BRISK,SIFT,,12.0228,,,,,,,,,,,
BRISK,SIFT,,12.6385,,,,,,,,,,,
BRISK,SIFT,,11.8439,,,,,,,,,,,
BRISK,SIFT,,14.625,,,,,,,,,,,
BRISK,SIFT,,13.5689,,,,,,,,,,,
BRISK,SIFT,,11.7118,,,,,,,,,,,
BRISK,SIFT,,11.5342,,,,,,,,,,,
BRISK,SIFT,,12.7487,,,,,,,,,,,
------------------------------------------------,,14.4067,9.587841041,,,,,,,,,,,
BRISK,BRISK,,15.5376,,,,,,,,,,,
BRISK,BRISK,,25.2795,,,,,,,,,,,
BRISK,BRISK,,15.4132,,,,,,,,,,,
BRISK,BRISK,,16.3238,,,,,,,,,,,
BRISK,BRISK,,32.6437,,,,,,,,,,,
BRISK,BRISK,,25.8569,,,,,,,,,,,
BRISK,BRISK,,21.7178,,,,,,,,,,,
BRISK,BRISK,,18.6689,,,,,,,,,,,
BRISK,BRISK,,16.5198,,,,,,,,,,,
BRISK,BRISK,,14.4224,,,,,,,,,,,
BRISK,BRISK,,14.9556,,,,,,,,,,,
BRISK,BRISK,,14.1105,,,,,,,,,,,
BRISK,BRISK,,12.4894,,,,,,,,,,,
BRISK,BRISK,,14.5558,,,,,,,,,,,
BRISK,BRISK,,12.5586,,,,,,,,,,,
BRISK,BRISK,,15.3126,,,,,,,,,,,
BRISK,BRISK,,10.7061,,,,,,,,,,,
BRISK,BRISK,,13.941,,,,,,,,,,,
------------------------------------------------,,17.27851111,31.63221215,,,,,,,,,,,
BRISK,BRIEF,,14.174,,,,,,,,,,,
BRISK,BRIEF,,21.8677,,,,,,,,,,,
BRISK,BRIEF,,14.6331,,,,,,,,,,,
